bookID,title,authors,average_rating,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,
60,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,9780753454947,eng,352,153317,2257,15-11-02,Kingfisher,
61,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,9780871209993,eng,192,55,5,15-11-04,ASCD,
62,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,9781852402877,eng,192,34,6,28-04-03,Sovereign World,
63,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,9780761129585,eng,832,11797,659,16-10-03,Workman Publishing Company,
64,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,9780972016414,eng,123,34,8,10-05-04,One Hour Entertainment,
65,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,9781581805635,en-US,128,78,4,19-08-04,North Light Books,
66,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,9780441294671,eng,423,2785,166,15-06-87,Ace Books,
67,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,9780441102679,eng,436,38778,568,01-07-87,Ace Books,
68,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,9780441172696,eng,331,97494,2359,15-07-87,Ace Books,
69,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,9780765306470,en-US,592,784,21,01-07-04,Tor Books,
70,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,9780399128981,eng,480,272,20,16-04-84,Putnam,
71,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,9780765353702,eng,426,4789,83,29-08-06,Tor Science Fiction,
72,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,9780441328000,eng,471,45388,644,15-08-87,Ace Books,
73,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,9780618212903,eng,192,26153,102,12-06-02,Houghton Mifflin Harcourt,
74,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780345410054,eng,544,69167,4551,29-09-96,Ballantine Books,
75,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,9780385732543,eng,291,45,13,13-09-05,Delacorte Books for Young Readers,
76,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,9780785260059,en-US,256,16,1,01-11-04,Thomas Nelson,
77,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,9780471780939,eng,205,174,16,19-05-06,Wiley,
78,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,9780325001531,eng,240,10,0,07-02-00,Heinemann Drama,
79,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,9780060762872,eng,336,76,9,03-05-05,William Morrow Paperbacks,
80,eBay for Dummies,Marsha Collier,3.5,9780470045299,eng,386,111,9,30-10-06,Wiley,
81,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,9780072262780,eng,260,24,0,24-01-06,McGraw-Hill,
82,Starting an eBay Business for Dummies,Marsha Collier,3.55,9780764569241,eng,384,55,4,17-09-04,Wiley,
83,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,9780471933823,eng,260,9,0,06-06-06,Wiley,
84,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,9780764559914,en-US,391,22,1,31-05-04,Wiley,
85,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,9780764584381,en-US,864,17,3,25-04-05,Wiley,
86,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,9780596523695,eng,873,166,4,29-07-06,O'Reilly Media,
87,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,9780806523491,eng,240,50,5,03-05-05,Citadel,
88,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,9780806525365,eng,206,13,2,03-05-05,Citadel,
89,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,9780596527310,eng,514,64,1,01-01-07,O'Reilly Media,
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,9780143035008,eng,838,16643,1851,31-05-04,Penguin Classics,
91,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,9780451528612,eng,960,109420,5696,05-11-02,Signet,
92,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,9780140449174,eng,837,2904,309,30-01-03,Penguin Books,
93,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,9780822001836,eng,80,16,3,26-11-65,Cliffs Notes,
94,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,9781593080273,eng,803,9564,726,01-07-03,Barnes & Noble Classics,
95,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,9780486437965,eng,752,474,72,23-11-04,Dover Publications,
96,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,9781593081775,eng,803,303,48,26-08-04,Barnes & Noble,
97,Dinner with Anna Karenina,Gloria Goldreich,2.99,9780778322276,eng,360,411,65,28-01-06,Mira Books,
98,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,9780521313254,eng,128,1204,33,26-11-87,Cambridge University Press,
99,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,9780140183955,eng,160,3429,279,03-07-90,Penguin Books,
100,The Untouchable,John Banville,3.95,9780679767473,eng,367,2163,216,30-06-98,Vintage,
101,The Untouchables,Eliot Ness/Oscar Fraley,3.89,9781568491981,eng,256,613,31,01-02-96,Buccaneer Books,
102,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,9780743270793,en-US,320,308,40,27-09-05,Scribner,
103,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,9780932863058,eng,100,10,0,28-01-95,Clarity Press,
104,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,9780742508804,eng,224,16,4,20-12-00,Rowman & Littlefield Publishers,
105,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,9780205358625,eng,216,10,0,22-09-03,Pearson,
106,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,9781557344038,eng,48,17,0,28-09-91,Teacher Created Resources,
107,Wrinkles in Time,George Smoot/Keay Davidson,4.01,9780380720446,eng,360,1035,23,01-10-94,Harper Perennial,
108,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,9780821925324,eng,250,36,6,01-05-02,EMC/Paradigm Publishing,
109,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,9780439271691,eng,32,15,0,01-01-02,Teaching Resources,
110,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,9780606105262,spa,205,6,1,01-06-84,Turtleback Books,
111,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,9780751506433,eng,367,376,17,01-06-94,Little  Brown Book Group,
112,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,9780060786717,eng,352,3086,237,03-01-06,William Morrow,
113,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,9780743499347,en-US,320,352,44,01-11-05,Atria Books,
114,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,9780765313409,eng,331,9852,633,07-03-06,Tor Books,
115,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,9781400032495,eng,244,821,78,10-08-04,Vintage Crime/Black Lizard,
116,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,9781400032488,eng,215,731,72,08-03-05,Vintage Crime/Black Lizard,
117,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,9781400032464,eng,191,2897,178,10-08-04,Vintage Crime/Black Lizard,
118,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,9780679732525,eng,144,98,11,03-10-90,Vintage,
119,I am Charlotte Simmons,Tom Wolfe,3.42,9780312424442,eng,738,20888,1688,30-08-05,Picador USA,
120,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,9780806930770,eng,48,66,19,01-10-01,Sterling,
121,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,9780140366600,eng,287,81,6,03-10-96,Puffin,
122,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,9780811201124,eng,217,981,52,01-02-64,New Directions Publishing,
123,Quiet Days in Clichy,Henry Miller,3.69,9780802130167,eng,154,3381,141,13-01-94,Grove Press,
124,Tropic of Cancer,Henry Miller/Jirí Níl,3.68,9780802131782,eng,318,53206,2376,06-01-94,Grove Press,
125,Tropic of Capricorn,Henry Miller,3.78,9780802151827,eng,348,14872,459,13-01-94,Grove Press,
126,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,9780802151780,eng,316,3261,58,13-01-94,Grove Press,
127,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,9780802151803,eng,506,7805,251,12-01-94,Grove Press,
128,The Air-Conditioned Nightmare,Henry Miller,3.83,9780811201063,eng,292,2699,142,17-01-70,New Directions,
129,The Portrait of a Lady,Henry James/Patricia Crick,3.78,9780141439631,eng,797,61640,1951,30-09-03,Penguin Classics,
130,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,9781593080969,eng,635,392,41,16-01-04,Barnes  Noble Classics,
131,Writing,Marguerite Duras,3.75,9781571290533,eng,91,778,44,06-05-99,Brookline Books,
132,The War,Marguerite Duras/Barbara Bray,3.85,9781565842212,eng,192,963,65,01-08-94,The New Press,
133,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,9780394743042,en-US,181,2057,128,12-03-86,Pantheon,
134,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,9781851681822,eng,178,203,8,01-07-99,One World (UK),
135,Kahlil Gibran: His Life and World,Jean Gibran/                /Kahlil Gibran,4.21,9781566562492,eng,464,35,2,01-04-98,Interlink Publishing Group,
136,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,9780140195538,eng,102,328,16,01-01-98,Penguin Books,
137,Jesus the Son of Man,Kahlil Gibran/  ,3.98,9780394431246,eng,216,1308,82,21-02-95,Knopf,
138,The Broken Wings,Kahlil Gibran/  /Anthony Rizcallah Ferris,3.92,9780806501901,eng,132,6432,517,03-03-03,Citadel,
139,Sand and Foam,Kahlil Gibran/  ,4.08,9780679439202,eng,100,3015,217,14-06-11,Knopf,
140,Treasure Island,Robert Louis Stevenson,3.83,9780753453803,eng,311,318753,6734,15-09-01,Kingfisher,
141,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,9781402714573,en-US,213,420,42,01-10-04,Sterling Children's Books,
142,Treasure Island,Robert Louis Stevenson,3.83,9781416500292,eng,245,5967,276,01-06-05,Simon & Schuster,
143,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,9780689854682,eng,64,104,14,01-07-03,Atheneum Books for Young Readers,
144,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,9780517221143,en-US,272,56,4,03-09-02,Gramercy Books,
145,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,9781577658054,eng,232,91,16,31-01-06,Abdo Publishing Company,
146,100 Years of Lynchings,Ralph Ginzburg,4.61,9780933121188,eng,270,88,4,22-11-96,Black Classic Press,
147,Cien años de soledad,Gabriel García Márquez,4.07,9780785950103,spa,448,63,7,01-01-90,French & European,
148,On Beyond Zebra!,Dr. Seuss,4.04,9780394800844,eng,64,2815,164,12-09-55,Random House Books for Young Readers,
149,The Wedding Clause,Debbie Raleigh,3.6,9780821778258,eng,256,95,13,07-06-05,Zebra,
150,The Zebra Wall,Kevin Henkes,3.44,9780060733032,eng,147,217,24,15-02-05,Greenwillow Books,
151,El perfume: Historia de un asesino,Patrick Süskind,4.02,9788432216060,spa,239,4136,255,01-06-02,Booket,
152,The Door Into Summer,Robert A. Heinlein,4.01,9780345413994,eng,304,17232,649,17-06-97,Del Rey,
153,Stranger in a Strange Land,Robert A. Heinlein,3.92,9780441788385,eng,528,251872,6241,01-10-91,Ace,
154,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,9780441748600,en-US,434,10293,193,01-06-88,Ace Books,
155,Job: A Comedy of Justice,Robert A. Heinlein,3.78,9780345316509,en-US,439,15970,438,12-10-85,Del Rey,
156,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,9780765314932,eng,256,6898,200,08-08-06,Tor Books,
157,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,9780671742515,en-US,307,67803,1401,15-02-91,Pocket Books,
158,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,9780345455291,eng,298,22091,746,26-04-05,Del Rey,
159,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,9780345476517,eng,368,2623,49,27-12-05,Del Rey,
160,Douglas Adams's Starship Titanic,Terry Jones,3.6,9780345368430,eng,256,885,84,27-10-98,Ballantine Books,
161,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,9781417622856,eng,336,5,0,01-07-03,Turtleback Books,
162,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,9780573650963,eng,72,100,13,12-01-11,Samuel French  Inc.,
163,On Bullshit,Harry G. Frankfurt,3.57,9780691122946,eng,67,9358,995,30-01-05,Princeton University Press,
164,Another Bullshit Night in Suck City,Nick Flynn,3.78,9780393329407,eng,347,9318,907,12-09-05,W. W. Norton & Company,
165,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,9780671867423,en-US,317,120,15,12-06-93,Simon & Schuster,
166,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,9780395883976,eng,32,5239,76,02-02-98,HMH Books for Young Readers,
167,Underworld,Don DeLillo,3.92,9780684848150,eng,827,1505,175,09-07-98,Scribner,
168,Libra,Don DeLillo,3.99,9780140156041,eng,480,11857,564,01-05-91,Penguin,
169,Americana,Don DeLillo,3.43,9780140119480,eng,377,393,55,06-07-89,Penguin Books,
170,Running Dog,Don DeLillo,3.43,9780679722946,eng,256,1356,72,17-07-89,Vintage Contemporaries,
171,Cosmopolis,Don DeLillo,3.22,9780743244251,eng,224,460,41,06-04-04,Scribner,
172,Great Jones Street,Don DeLillo,3.48,9780140179170,eng,272,2492,145,01-01-94,Penguin Books,
173,The Names,Don DeLillo,3.64,9780679722953,eng,339,3100,212,17-07-89,Vintage,
174,Against the Day,Thomas Pynchon,4.13,9781594201202,eng,1085,5296,587,21-11-06,Penguin Press,
175,V.,Thomas Pynchon,3.96,9780060930219,eng,547,1415,177,05-07-05,Harper Perennial Modern Classics,
176,The Crying of Lot 49,Thomas Pynchon,3.69,9780060931674,eng,152,2161,230,01-04-99,Harper Perennial,
177,Gravity's Rainbow,Thomas Pynchon,4.01,9780140283389,eng,784,762,213,01-01-00,Penguin Books,
178,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,9780312423209,eng,773,8086,602,03-01-04,Picador USA,
179,Vineland,Thomas Pynchon,3.69,9780141180632,en-US,385,702,69,01-09-97,Penguin Classics,
180,Gravity's Rainbow,Thomas Pynchon,4.01,9780143039945,eng,776,29764,2164,31-10-06,Penguin Books,
181,Slow Learner: Early Stories,Thomas Pynchon,3.5,9780316724432,eng,193,334,34,30-04-85,Back Bay Books,
182,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,9780140189308,eng,352,2473,220,29-08-96,Penguin Classics,
183,The Year of Magical Thinking,Joan Didion,3.89,9781400043149,en-US,227,2656,336,04-10-05,Knopf Publishing Group,
184,The White Album,Joan Didion,4.17,9780374522216,eng,222,11889,738,01-10-90,Farrar Straus Giroux,
185,A Book of Common Prayer,Joan Didion,3.8,9780679754862,eng,272,2962,255,11-04-95,Vintage International,
186,Where I Was From,Joan Didion,3.86,9780679752868,eng,240,2842,292,14-09-04,Vintage,
187,Slouching Towards Bethlehem,Joan Didion,4.21,9780374521721,eng,238,26934,1825,01-10-90,Farrar Straus Giroux,
188,Democracy,Joan Didion,3.81,9780679754855,en-US,234,2070,169,25-04-95,Vintage International,
189,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,9780307264879,eng,1122,1564,108,17-10-06,Everyman's Library,
190,Play It As It Lays,Joan Didion/David Thomson,3.87,9780374529949,eng,231,23656,1706,15-11-05,Farrar  Straus and Giroux,
191,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,9780143039839,eng,308,43200,1873,28-03-06,Penguin Classics,
192,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,9780140097313,eng,203,12410,734,07-04-87,Penguin Books,
193,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,9780140097351,eng,96,3672,195,07-07-87,Penguin Books,
194,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,9780940650763,eng,179,2998,164,01-11-86,Sun and Moon Press,
195,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,9780963188922,eng,256,74,2,01-01-95,Sky Books (NY),
196,The Brooklyn Follies,Paul Auster,3.84,9780312426231,eng,306,17977,1157,17-10-06,Picador,
197,Moon Palace,Paul Auster,3.94,9780140115857,eng,320,16099,503,01-04-90,Penguin Books,
198,The Music of Chance,Paul Auster,3.9,9780140154078,en-US,217,361,36,01-12-91,Penguin Books,
199,Travels in the Scriptorium,Paul Auster,3.23,9780805081459,eng,145,6688,562,23-01-07,Henry Holt & Company,
200,Leviathan,Paul Auster,3.96,9780140178135,eng,275,11744,443,01-09-93,Penguin Books,
201,The Red Notebook: True Stories,Paul Auster,3.77,9780811214988,eng,104,2390,120,17-06-02,New Directions,
202,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,9782742741465,fre,1075,21,1,07-11-02,Actes Sud,
203,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,9780143036555,eng,608,52522,2780,27-12-05,Penguin Books Ltd. (London),
204,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,9780446579780,en-US,211,213,26,01-02-06,Business Plus,
205,Collapse of Complex Societies,Joseph A. Tainter,4.15,9780521386739,eng,262,719,86,29-03-90,Cambridge University Press,
